room_code,session,max_capacity
SBB - 265,S1,8
SBB - 249,S1,8
SBB - 269,S1,8
SBB - 245,S1,8
SBB - 220,S1,60
SBB - 215,S1,11
SBB - 213,S1,10
SBB - 210,S1,10
SBB - 206,S1,10
SBB - 202,S1,30
SBB - 209,S1,13
SBB - 336,S1,8
SBB - 306,S1,8
SBB - 302,S1,8
SBB - 309,S1,8
SBB - 377,S1,8
SBB - 368,S1,10
SBB - 366,S1,8
SBB - 465,S1,10
SBB - 440,S1,10
SBB - 420,S1,30
SBB - 265,S2,8
SBB - 249,S2,8
SBB - 269,S2,8
SBB - 245,S2,8
SBB - 220,S2,60
SBB - 215,S2,11
SBB - 213,S2,10
SBB - 210,S2,10
SBB - 206,S2,10
SBB - 202,S2,30
SBB - 209,S2,13
SBB - 336,S2,8
SBB - 306,S2,8
SBB - 302,S2,8
SBB - 309,S2,8
SBB - 377,S2,8
SBB - 368,S2,10
SBB - 366,S2,8
SBB - 465,S2,10
SBB - 440,S2,10
SBB - 420,S2,30
